"Y" "X1" "X2" "X3" "X4" "X5"
3.7 7.14 2.6 70 37 35
4.1 9.05 20.5 195 127 112
5.5 7.63 11.6 197 109 110
5.7 11.8 9.1 571 441 469
7.7 12.78 46 322 252 349
4.3 8.3 6.8 167 105 59
1.3 8.92 2.2 56 40 14
3.7 7.58 20.8 97 59 79
3.5 7.94 6.2 195 139 116
5 11.03 19.7 318 270 335
4.5 9.31 30.2 170 124 173
2.9 7.91 11.9 477 349 188
6.3 9.74 11.4 221 170 172
3.2 8.19 10.8 176 156 88
2.7 7.14 13.1 92 40 50
1.4 7.14 4.1 115 90 19
3.9 11.15 7.7 281 217 199
3.5 8.03 24.3 97 65 55
5.1 9.76 21.9 150 147 106
2.9 10.8 1.6 130 69 62
5 7.78 20.9 489 391 329
4.5 11.46 15.6 191 153 132
4.4 9.66 9.9 83 66 95
2.5 8.54 27 98 57 75
5.8 11.41 23.8 424 359 335
4.1 9.35 15.9 833 547 519
4.1 7.13 9 279 207 241
4.5 6.7 13 76 51 79
4.4 11.65 18.6 248 217 189
5 9.78 17.6 270 240 198
2.6 9.76 6.9 64 47 55
4.8 12.01 10.8 298 237 115
4.1 10.47 5.7 196 168 153
4.5 9.61 6.9 487 404 220
3.9 8.28 12 546 413 436
5.3 8.15 12.3 99 55 71
5.8 9.5 42 98 68 46
5.1 10.3 27.8 175 113 73
3.7 8.58 7.4 304 248 218
5.5 11.08 18.6 387 326 405
3.7 8.48 12.1 166 145 118
4.3 9.89 11.8 190 141 112
5.5 10.9 10.6 593 446 211
4.8 9.84 12 600 468 497
2.8 9.97 16.5 90 69 42
5.9 17.94 26.4 835 791 407
1.6 8.82 3.8 80 51 52
4.8 9.36 18.3 165 127 158
6.3 8.84 29.6 85 59 66
4 9.2 17.5 298 244 236
3.9 10.73 19.3 445 374 345
4.2 9 14.6 72 61 38
5.5 8.37 15.1 115 96 88
2 8.93 6.2 95 59 56
4.4 10.02 8.3 265 191 202
5.4 11.18 60.5 640 399 360
4.5 9.44 10.9 297 230 263
4.2 8.88 10.1 305 238 197
5.3 9.77 15.7 154 123 148
5.2 9.53 15 298 241 193
2.3 7.95 4.6 163 128 93
4.2 7.53 23.1 95 47 49
1.7 8.09 7.6 92 61 61
4.3 9.23 11.6 620 413 420
5.6 8.95 18.9 147 53 148
3 11.2 7 130 95 56
3.1 9.41 20.6 29 20 22
6.4 11.62 25.5 133 113 101
5.6 11.48 20.3 252 207 251
4.8 10.24 36.3 195 163 170
